Eritrea,Measles,54.00,28.00,25.00,12.00,6.00,70.00,1199.00,142.00,198.00,127.00,45.00,194.00,48.00,51.00,82.00,0.00,55.00,128.00,19.00,24.00,376.00,460.00,204.00,789.00,320.00,316.00,777.00,1783.00,185.00,541.00,267.00,,,,,,,,,,,,,
Estonia,Measles,4.00,0.00,0.00,0.00,27.00,10.00,1.00,2.00,4.00,0.00,2.00,4.00,7.00,0.00,0.00,0.00,1.00,27.00,2.00,0.00,0.00,0.00,0.00,9.00,12.00,17.00,18.00,19.00,17.00,230.00,312.00,71.00,129.00,33.00,,,,,,,,,,
Eswatini,Measles,3.00,64.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,313.00,26.00,1.00,0.00,0.00,0.00,0.00,350.00,37.00,49.00,10.00,0.00,180.00,609.00,2201.00,171.00,610.00,7148.00,2042.00,1467.00,1465.00,1461.00,1581.00,4261.00,2253.00,3253.00,4794.00,3267.00,9185.00,2592.00,
Ethiopia,Measles,24038.00,9292.00,1953.00,1952.00,3998.00,1752.00,1921.00,4579.00,17745.00,12739.00,5253.00,4347.00,3255.00,4235.00,1176.00,3511.00,1446.00,1451.00,357.00,73.00,228.00,3332.00,2366.00,1660.00,5329.00,1603.00,1113.00,1586.00,562.00,1133.00,1152.00,4815.00,497.00,1836.00,4169.00,7575.00,4832.00,3760.00,66544.00,9843.00,5866.00,10527.00,9784.00,10690.00
Fiji,Measles,,,,,28.00,0.00,,5.00,,,,0.00,,0.00,1.00,0.00,0.00,136.00,,37.00,305.00,304.00,17.00,,,,828.00,39.00,414.00,39.00,425.00,969.00,,32.00,53.00,610.00,1075.00,385.00,152.00,827.00,313.00,902.00,1003.00,913.00
Finland,Measles,1.00,0.00,3.00,4.00,12.00,15.00,11.00,4.00,2.00,,2.00,,27.00,5.00,2.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,,,1.00,0.00,0.00,6.00,1.00,0.00,5.00,8.00,3.00,1032.00,129.00,635.00,741.00,614.00,729.00,4751.00,5402.00,3813.00,2147.00
France,Measles,117.00,15.00,16.00,240.00,2637.00,2921.00,519.00,79.00,157.00,267.00,272.00,,14949.00,5048.00,1541.00,604.00,39.00,40.00,36.00,4448.00,,5185.00,,10000.00,,,80000.00,66000.00,54239.00,44005.00,77232.00,109548.00,156849.00,,,,,931.00,399.00,978.00,870.00,812.00,1132.00,1244.00
French Polynesia,Measles,0.00,0.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,3.00,,13.00,0.00,518.00,387.00,7.00,95.00,21.00,22.00,31.00,30.00,82.00,18.00,40.00,43.00,1927.00,113.00,1015.00,1187.00,1281.00,379.00
Gabon,Measles,1167.00,1293.00,134.00,9.00,2.00,1.00,1075.00,1509.00,27.00,33.00,122.00,2.00,2.00,1.00,0.00,3.00,0.00,90.00,0.00,63.00,,110.00,5129.00,15.00,,,,70.00,,,958.00,1245.00,,738.00,1780.00,655.00,2074.00,6826.00,5222.00,7234.00,4324.00,1747.00,2306.00,1641.00
Gambia,Measles,38.00,58.00,0.00,,1.00,4.00,1.00,45.00,71.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,32.00,99.00,336.00,856.00,,1500.00,15.00,130.00,280.00,912.00,364.00,164.00,,,,,3997.00,1628.00,,1372.00,1566.00,262.00,284.00
Georgia,Measles,39.00,12.00,5.00,20.00,3918.00,2199.00,94.00,14.00,431.00,3188.00,7872.00,31.00,64.00,22.00,23.00,56.00,44.00,334.00,1356.00,6847.00,216.00,199.00,35.00,50.00,144.00,218.00,342.00,304.00,181.00,723.00,409.00,115.00,352.00,,,,,,,,,,,
Germany,Measles,79.00,15.00,10.00,76.00,514.00,543.00,929.00,326.00,2464.00,443.00,1771.00,166.00,1607.00,780.00,574.00,917.00,567.00,2307.00,778.00,121.00,779.00,4657.00,6024.00,,,,,,,,,,,,45.00,17.00,189.00,199.00,568.00,11759.00,9798.00,2029.00,5290.00,28745.00
